title,artist,link
Three Views of a Standing Male Nude with hand on hip (1948),John Thompson,/record/20845?highlight=*:*
Untitled (Unknown),Margaret Clyde,/record/21628?highlight=*:*
Untitled - Cubist Guitar Player (1963),Ann F Ward,/record/99350?highlight=*:*
Legless Graham (Unknown),Jennifer Blake,/record/21997?highlight=*:*
Standing Woman,John Bellany,/record/20766?highlight=*:*
Teacup,Emma Gillies,/record/53652?highlight=*:*
Side Plate,Emma Gillies,/record/53616?highlight=*:*
Unknown,Unknown,/record/50381?highlight=*:*
Nude in Studio Interior (1896),Samuel John Peploe,/record/20739?highlight=*:*
Portrait of a Woman (1959),Kenneth Dingwall,/record/21328?highlight=*:*
Portrait of a Seated Woman (1954),John P Busby,/record/21376?highlight=*:*
Untitled (Unknown),Unknown,/record/99960?highlight=*:*
Untitled (2003),Robin Kukiel,/record/99932?highlight=*:*
Unttiled (Unknown),Adam M Martin,/record/21830?highlight=*:*
Reclining Male Nude (Feb 1951),L Weir,/record/21223?highlight=*:*
Male Nude with Staff (verso),Zygmunt Bukowski,/record/22654?highlight=*:*
Portrait of a Woman (1939),Olivia Cochrane,/record/21132?highlight=*:*
Unknown (1994),Esther Tacke,/record/21914?highlight=*:*
Isobel L Alexander sampler (1944),Isobel L Alexander,/record/102668?highlight=*:*
Standing Man with Scythe,John Houston,/record/21046?highlight=*:*
Seated Female Nude (1958),David Rifat,/record/20873?highlight=*:*
Dispersion (1991),Alastair Clark,/record/21911?highlight=*:*
Study for picture 'Waking of Brynhildr' (1897),Pavlov Chailly,/record/50470?highlight=*:*
Reclining Male Nude (1954),Alex Sutherland,/record/21248?highlight=*:*
Craigleith Island July '92 (1992),Delia M Surplice,/record/99415?highlight=*:*
Italian quilting in frame,Unknown,/record/102666?highlight=*:*
Tskihrva (Unknown),Boris Bućan,/record/22043?highlight=*:*
No 98 (1960),John Johnstone,/record/99256?highlight=*:*
Unknown,George Roderick Carmichael,/record/50566?highlight=*:*
Untitled (Unknown),David Giblin,/record/21635?highlight=*:*
Unknown (1957),Alejandro B. Brasó,/record/50602?highlight=*:*
